index,open,high,low,close,volume
20071218,888000,894000,874000,890000,676
20071217,865000,893000,865000,877000,297
20071214,866000,906000,865000,877000,1300
20071213,881000,900000,850000,850000,2402
20071212,890000,891000,875000,880000,981
20071211,907000,907000,881000,881000,895
20071210,901000,909000,889000,889000,705
20071207,919000,919000,900000,900000,394
20071206,910000,923000,905000,912000,310
20071205,900000,910000,889000,910000,324
20071204,906000,911000,900000,904000,307
20071203,920000,925000,897000,902000,376
20071130,910000,924000,903000,919000,497
20071129,890000,927000,890000,919000,830
20071128,927000,927000,887000,890000,395
20071127,908000,925000,881000,905000,724
20071126,880000,905000,764000,897000,662
20071123,900000,910000,889000,890000,820
20071122,888000,910000,885000,890000,702
20071121,890000,899000,852000,880000,1032
20071120,892000,909000,861000,890000,795
20071119,883000,892000,872000,883000,433
20071116,900000,904000,879000,882000,973
20071115,901000,910000,891000,900000,740
20071114,885000,910000,882000,910000,1302
20071113,890000,909000,880000,882000,578
20071112,900000,901000,865000,890000,1136
20071109,903000,920000,895000,900000,734
20071108,910000,910000,862000,883000,874
20071107,900000,910000,898000,898000,408
20071106,900000,919000,897000,900000,391
20071105,883000,911000,883000,900000,393
20071102,909000,920000,891000,891000,606
20071101,902000,925000,900000,900000,325
20071031,909000,940000,897000,910000,395
20071030,885000,910000,885000,910000,372
20071029,886000,907000,886000,907000,800
20071026,884000,910000,884000,905000,459
20071025,903000,915000,883000,905000,663
20071024,869000,902000,868000,902000,1138
20071023,877000,887000,863000,875000,951
20071022,879000,891000,858000,885000,885
20071019,863000,887000,855000,870000,1035
20071018,869000,890000,859000,890000,767
20071017,890000,904000,851000,859000,801
20071016,900000,903000,887000,887000,8627
20071015,900000,908000,893000,900000,468
20071012,909000,909000,898000,900000,799
20071011,908000,908000,890000,900000,643
20071010,892000,902000,891000,900000,591
20071009,896000,902000,892000,892000,983
20071008,902000,912000,895000,895000,785
20071005,906000,912000,900000,907000,401
20071004,942000,942000,910000,911000,382
20071002,914000,938000,912000,934000,637
20071001,920000,999000,912000,912000,933
20070928,928000,928000,905000,913000,469
20070927,934000,934000,925000,928000,338
20070921,912000,918000,904000,913000,241
20070920,930000,930000,911000,926000,289
20070919,902000,928000,902000,921000,660
20070918,900000,908000,890000,900000,548
20070917,903000,910000,900000,903000,218
20070914,901000,922000,900000,910000,530
20070913,900000,909000,897000,901000,1693
20070912,900000,908000,894000,900000,1426
20070911,901000,908000,895000,899000,1568
20070910,891000,903000,887000,897000,916
20070907,903000,910000,888000,899000,1105
20070906,898000,918000,896000,916000,563
20070905,906000,934000,895000,898000,11605
20070904,940000,948000,905000,905000,944
20070903,1000000,1000000,927000,942000,1175
20070831,990000,995000,969000,985000,742
20070830,998000,999000,962000,987000,3098
20070829,932000,988000,902000,988000,1515
20070828,939000,939000,907000,932000,574
20070827,918000,928000,916000,918000,1371
20070824,916000,917000,900000,915000,783
20070823,888000,909000,888000,907000,2289
20070822,854000,900000,847000,888000,1915
20070821,853000,883000,850000,854000,2113
20070820,861000,870000,850000,853000,1169
20070817,946000,946000,850000,850000,2947
20070816,938000,938000,888000,907000,891
20070814,912000,948000,910000,910000,808
20070813,881000,930000,873000,930000,1647
20070810,865000,903000,858000,891000,1106
20070809,891000,910000,890000,908000,430
20070808,875000,910000,875000,908000,586
20070807,890000,890000,863000,863000,1885
20070806,903000,903000,870000,870000,1067
20070803,910000,913000,890000,895000,652
20070802,873000,914000,873000,893000,1224
20070801,893000,902000,850000,873000,1419
20070731,898000,902000,893000,898000,1027
20070730,899000,918000,894000,900000,817
20070727,919000,919000,890000,894000,1588
20070726,899000,910000,898000,903000,5697
20070725,898000,926000,892000,903000,1172
20070724,894000,903000,894000,898000,501
20070723,916000,917000,899000,910000,755
20070720,894000,928000,894000,902000,818
20070719,900000,913000,897000,902000,423
20070718,892000,929000,891000,896000,1139
20070716,890000,929000,890000,901000,6830
20070713,891000,910000,891000,903000,334
20070712,902000,911000,902000,908000,16619
20070711,910000,921000,899000,904000,476
20070710,893000,912000,891000,910000,304
20070709,900000,900000,890000,897000,266
20070706,904000,911000,889000,901000,289
20070705,887000,909000,887000,901000,740
20070704,903000,912000,889000,891000,525
20070703,914000,929000,885000,914000,767
20070702,905000,930000,892000,905000,948
20070629,888000,946000,888000,905000,1002
20070628,884000,889000,877000,877000,196
20070627,906000,906000,880000,884000,592
20070626,897000,913000,887000,906000,496
20070625,905000,920000,889000,890000,781
20070622,891000,898000,887000,887000,356
20070621,890000,901000,890000,894000,606
20070620,896000,904000,890000,891000,457
20070619,900000,910000,895000,904000,428
20070618,898000,920000,898000,906000,526
20070615,910000,927000,902000,905000,254
20070614,918000,928000,917000,928000,9518
20070613,916000,918000,903000,915000,297
20070612,895000,915000,895000,915000,289
20070611,893000,901000,890000,899000,500
20070608,903000,929000,897000,899000,10360
20070607,891000,924000,891000,903000,696
20070605,890000,904000,890000,894000,459
20070604,890000,905000,883000,899000,629
20070601,899000,908000,896000,900000,14563
20070531,899000,909000,896000,909000,806
20070530,898000,905000,893000,905000,258
20070529,897000,911000,896000,907000,723
20070528,898000,910000,896000,905000,372
20070525,911000,911000,901000,909000,685
20070523,900000,909000,897000,906000,181
20070522,918000,921000,899000,899000,683
20070521,928000,960000,913000,929000,286
20070518,933000,948000,912000,928000,206
20070517,950000,953000,921000,932000,250
20070516,977000,986000,949000,956000,100
20070515,907000,977000,903000,977000,264
20070514,922000,924000,902000,916000,161
20070511,940000,970000,920000,930000,194
20070510,901000,939000,900000,924000,9565
20070509,891000,907000,891000,907000,4193
20070508,885000,928000,885000,900000,888
20070507,892000,903000,892000,900000,1794
20070504,892000,904000,889000,895000,105
20070503,900000,913000,888000,899000,150
20070502,897000,947000,851000,912000,801
20070430,899000,900000,872000,900000,402
20070427,887000,905000,880000,895000,1070
20070426,884000,896000,884000,894000,2617
20070425,891000,900000,879000,894000,123
20070424,905000,909000,892000,894000,507
20070423,926000,984000,905000,905000,16910
20070420,890000,949000,890000,946000,1530
20070419,865000,899000,865000,899000,511
20070418,849000,889000,847000,888000,1285
20070417,830000,850000,830000,850000,84
20070416,847000,849000,836000,840000,278
20070413,847000,850000,828000,850000,519
20070412,840000,850000,824000,836000,192
20070411,830000,845000,828000,835000,69
20070410,850000,850000,825000,850000,171
20070409,847000,850000,803000,850000,1165
20070406,812000,832000,812000,832000,114
20070405,812000,825000,812000,816000,93
20070404,817000,823000,814000,814000,56
20070403,814000,835000,813000,818000,120
20070402,832000,833000,819000,819000,15
20070330,824000,830000,811000,830000,89
20070329,827000,827000,806000,819000,106
20070328,819000,830000,800000,805000,122
20070327,808000,820000,808000,817000,30
20070326,824000,837000,806000,808000,129
20070323,814000,825000,805000,807000,79
20070322,826000,828000,820000,822000,29
20070321,824000,833000,810000,811000,34
20070320,835000,835000,813000,815000,16
20070319,834000,834000,829000,830000,80
20070316,797000,819000,797000,818000,39
20070315,796000,811000,796000,811000,103
20070314,790000,820000,790000,801000,104
20070313,800000,800000,796000,796000,19
20070312,796000,805000,792000,800000,36
20070309,801000,804000,795000,795000,67
20070308,800000,808000,798000,800000,317
20070307,812000,828000,799000,801000,181
20070306,792000,825000,792000,825000,108
20070305,799000,810000,799000,808000,182
20070302,785000,802000,785000,800000,226
20070228,804000,804000,797000,800000,315
20070227,820000,824000,812000,812000,36
20070226,837000,844000,820000,820000,116
20070223,840000,840000,824000,830000,124
20070222,849000,849000,834000,834000,77
20070221,840000,849000,827000,849000,111
20070220,855000,855000,842000,850000,15
20070216,852000,855000,848000,855000,215
20070215,840000,855000,839000,855000,158
20070214,844000,850000,835000,850000,114
20070213,819000,849000,819000,845000,198
20070212,818000,828000,818000,828000,46
20070209,830000,840000,828000,828000,361
20070208,840000,840000,830000,830000,224
20070207,835000,841000,817000,840000,1061
20070206,821000,849000,821000,835000,221
20070205,840000,840000,804000,838000,297
20070202,840000,840000,803000,820000,378
20070201,800000,825000,800000,820000,243
20070131,792000,813000,784000,800000,307
20070130,799000,805000,796000,804000,1738
20070129,792000,800000,792000,799000,154
20070126,796000,800000,792000,794000,109
20070125,795000,799000,792000,796000,135
20070124,792000,800000,792000,795000,457
20070123,793000,794000,792000,792000,127
20070122,789000,799000,785000,795000,150
20070119,785000,789000,782000,789000,119
20070118,783000,793000,782000,786000,52
20070117,783000,789000,781000,782000,103
20070116,797000,800000,796000,796000,121
20070115,800000,800000,782000,797000,124
20070112,781000,805000,781000,800000,2686
20070111,798000,799000,766000,774000,288
20070110,771000,781000,765000,766000,352
20070109,799000,799000,768000,771000,465
20070108,784000,784000,763000,779000,2766
20070105,784000,784000,760000,760000,686
20070104,788000,805000,783000,784000,1764
20070103,839000,839000,792000,799000,363
20070102,840000,840000,814000,824000,104
20061228,840000,840000,829000,839000,24
20061227,821000,828000,821000,828000,10
20061226,878000,878000,821000,840000,205
